player,career_length,backhand_type,aces,double_faults,first_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_won,2nd_serve_return_won,total_break_pts,break_pts_conv,return_games_played,return_games_won,return_points_won,total_pts_won,
Tommy Paul,7, Two-Handed Backhand,588,314,61,70,51,926,60,1651,77,63,29,50,938,39,1649,22,37,50,
Sebastian Baez,4, Two-Handed Backhand,65,61,73,64,53,286,60,451,75,61,33,52,319,39,457,28,40,50,
Oscar Otte,11, Two-Handed Backhand,387,190,58,75,49,321,62,626,81,64,28,49,325,39,625,20,36,50,
Alejandro Davidovich Fokina,5, Two-Handed Backhand,247,337,68,65,50,944,56,1458,72,60,32,51,968,41,1470,27,39,50,
Alexander Bublik,6, Two-Handed Backhand,2011,1073,58,76,45,1112,62,1989,79,63,28,45,977,37,1988,18,35,49,
Ilya Ivashka,9, Two-Handed Backhand,718,344,61,72,49,772,60,1403,78,63,29,51,847,38,1397,23,38,50,
Albert Ramos-Vinolas,15, Two-Handed Backhand,1778,1311,62,68,52,3891,61,6444,76,62,30,50,3716,40,6504,23,38,50,
Francisco Cerundolo,4, Two-Handed Backhand,87,109,65,64,50,302,62,403,72,59,35,51,280,42,406,29,41,50,
Aslan Karatsev,11, Two-Handed Backhand,409,363,60,71,51,649,62,1125,78,63,30,50,711,38,1129,24,38,50,
Cristian Garin,11, Two-Handed Backhand,656,473,61,69,49,1250,61,1956,75,61,31,50,1205,41,1963,25,38,50,
Nick Kyrgios,9, Two-Handed Backhand,4035,945,66,77,53,1279,67,3650,88,69,24,47,1498,39,3637,16,33,51,
Sebastian Korda,4, Two-Handed Backhand,459,227,64,70,49,629,65,1044,79,63,32,51,673,41,1029,27,39,51,
Lloyd Harris,7, Two-Handed Backhand,1217,266,65,74,47,719,61,1458,81,65,26,47,648,39,1467,17,34,49,
Emil Ruusuvuori,4, Two-Handed Backhand,396,337,66,70,50,624,58,1111,77,63,31,52,691,39,1101,25,39,51,
Pedro Martinez,6, Two-Handed Backhand,201,293,65,66,49,673,59,1033,74,60,31,51,651,40,1032,25,39,50,
Alex Molcan,7, Two-Handed Backhand,128,83,65,67,53,238,56,444,76,62,31,54,286,41,439,27,40,51,
Andy Murray,17, Two-Handed Backhand,6132,2276,58,74,52,5417,62,11194,82,65,33,55,7961,43,11098,31,42,53,
Mackenzie McDonald,6, Two-Handed Backhand,633,328,64,68,50,982,60,1638,76,62,28,50,861,40,1658,21,37,49,
Tallon Griekspoor,7, Two-Handed Backhand,247,122,64,70,50,313,63,539,78,63,24,48,226,36,536,15,33,49,
Brandon Nakashima,3, Two-Handed Backhand,418,124,61,74,54,315,61,732,83,66,27,51,335,41,726,19,36,51,
Laslo Djere,9, Two-Handed Backhand,854,619,60,70,50,1284,60,2172,77,62,29,49,1227,37,2173,21,37,49,
Benjamin Bonzi,7, Two-Handed Backhand,231,77,59,70,49,291,62,474,77,62,29,51,251,41,467,22,37,50,
Marton Fucsovics,12, Two-Handed Backhand,878,744,58,70,51,1602,60,2675,76,62,31,51,1719,39,2692,25,39,50,
David Goffin,13, Two-Handed Backhand,2582,1703,58,71,50,3377,60,5926,77,63,31,53,3976,41,5997,27,40,51,
Joao Sousa,14, Two-Handed Backhand,1510,913,61,70,49,3067,58,5129,75,62,29,48,2915,38,5160,21,37,49,
Maxime Cressy,3, Two-Handed Backhand,581,319,63,78,52,221,67,550,87,68,24,45,189,38,547,13,32,50,
Arthur Rinderknech,4, Two-Handed Backhand,575,125,64,76,48,348,66,737,84,66,26,46,348,38,742,18,34,50,
Fabio Fognini,18, Two-Handed Backhand,2315,2803,59,68,49,5653,57,8651,72,60,32,51,5474,43,8717,27,39,50,
Dusan Lajovic,15, One-Handed Backhand,1304,631,66,68,52,2467,60,4270,77,62,28,49,2282,39,4290,21,36,49,
Daniel Altmaier,8, One-Handed Backhand,267,116,61,70,46,372,64,522,75,61,28,46,260,40,525,20,35,48,
Hugo Gaston,4, Two-Handed Backhand,114,102,57,65,49,480,65,564,70,58,32,50,361,40,572,25,39,49,
Jiri Vesely,13, Two-Handed Backhand,2168,1028,64,73,51,1786,63,3498,81,65,27,47,1717,37,3512,18,35,50,
Marcos Giron,8, Two-Handed Backhand,478,192,61,70,49,729,61,1221,77,62,27,48,597,37,1242,18,35,49,
Jordan Thompson,9, Two-Handed Backhand,1146,409,62,71,49,1365,60,2381,77,63,28,48,1252,37,2366,19,36,49,
Richard Gasquet,20, One-Handed Backhand,4860,2185,61,73,53,5129,61,10973,82,65,30,51,6520,41,10802,24,38,52,
Federico Coria,12, Two-Handed Backhand,180,178,66,62,49,644,57,854,67,58,32,52,538,43,867,27,39,49,
Lorenzo Musetti,3, One-Handed Backhand,213,163,66,67,50,560,59,924,75,61,30,51,531,39,929,22,37,49,
Jaume Munar,8, Two-Handed Backhand,501,373,64,68,48,1074,60,1645,74,61,32,51,1056,36,1638,23,39,50,
Adrian Mannarino,18, Two-Handed Backhand,2337,1298,60,69,50,3590,59,6030,76,62,28,50,3213,41,6075,22,37,49,
Jiri Lehecka,2, Two-Handed Backhand,50,30,64,67,53,95,63,157,78,62,26,46,63,40,158,16,34,48,
Soonwoo Kwon,7, Two-Handed Backhand,403,289,61,69,51,644,59,1112,77,62,28,51,655,36,1121,21,37,49,
Benoit Paire,15, Two-Handed Backhand,4455,2722,52,74,45,4219,60,6529,74,60,31,49,3853,40,6548,23,38,49,
James Duckworth,12, Two-Handed Backhand,1096,398,56,72,50,1028,64,1729,78,63,25,47,736,37,1719,16,33,48,
Denis Kudla,12, Two-Handed Backhand,1078,637,58,70,51,1390,58,2378,76,62,26,49,1109,40,2392,19,35,48,
Tomas Martin Etcheverry,5, Two-Handed Backhand,35,23,71,64,45,98,61,122,69,58,27,51,58,34,121,17,36,47,
Alejandro Tabilo,7, Two-Handed Backhand,143,90,64,68,48,220,56,347,72,60,32,52,202,44,331,27,39,50,
Roger Federer,24, One-Handed Backhand,11478,2759,62,77,57,6459,67,18872,89,70,32,51,11948,41,18475,27,40,54
